index,Scoville Heat Units (SHU)
0,65147.054198336285
1,153821.8877810834
2,9091.799560067666
3,-3347.296501269215
4,172467.36481288006
5,111329.61524134866
6,107682.03900216475
7,57165.91796108744
8,159763.2131639982
9,10111.40355284651
10,-2303.341735563663
11,-31929.88546341205
12,139402.4583438175
13,74855.9313387209
14,110463.76616212046
15,129673.20944529085
16,191806.55671124236
17,151746.86569853063
18,203481.54156606848
19,106266.67481974215
20,133096.05536792942
21,69784.59706830648
22,26056.747951647856
23,156176.83781895455
24,166097.21190823225
25,98485.36885429607
26,3905.1753102564835
27,32125.686046286377
28,24261.309234329376
29,130721.26473927277
30,92623.00309946417
31,75673.86043430326
32,119285.87180594879
33,65768.16094066112
34,162154.96463944062
35,-25577.941221514237
36,70848.88938519522
37,-9032.772018802381
38,35799.163061121486
39,131053.22540741859
40,-42506.425102888854
41,17748.156893108724
42,20268.92296432725
43,57531.6214713585
44,-3955.6708625235624
45,12946.345695871583
46,9135.110127076652
47,108485.85775360043
48,49871.84502399555
49,-30229.84739342099
50,43060.85971698724
51,-1917.316879594553
52,109644.3965586035
53,54452.30704395565
54,69929.42352747821
55,183013.81302706402
56,116.80314355727751
57,170005.18129223885
58,73911.95944881863
59,132330.62197631202
60,121587.9695064591
61,-19570.604621006496
62,141913.4530716953
63,55701.232173979755
64,191975.71727177923
65,98624.35155848667
66,39984.41197046073
67,37671.90207442755
68,69930.55412910279
69,200220.38494184968
70,35346.62825362516
71,37014.10190440441
72,118641.08956587434
73,17510.66498554236
74,18000.279218745884
75,87025.46527252541
76,100628.4468593587
77,-62596.051074274714
78,67803.93809729542
79,91505.58534469907
80,113026.88460487434
81,131813.64652323571
82,76568.87483078131
83,61969.62065234863
84,10572.27450102425
85,76378.32705188789
86,-31617.425670825804
87,127894.82801899439
88,12150.454881070924
89,-7820.802823053789
90,39244.262049670186
91,-25376.049513419348
92,-556.2698587532359
93,-297.27094377698086
94,15831.080042651534
95,107833.21422907256
96,-5553.955511857377
97,72430.12123716604
98,-28332.332480527126
99,-2860.4806353492168
100,73680.38249376144
101,129096.44920847645
102,77901.91546808775
103,60169.257938883726
104,52879.83725929407
105,53755.69506677557
106,51195.06437173496
107,66062.82332777741
108,44493.613683477975
109,100005.27358084638
110,26581.13381548095
111,100761.36711530556
112,43378.14062767961
113,69474.04197260889
114,103470.71686206534
115,153718.01904264875
116,-6121.682663857238
117,8250.608436515657
118,13285.085614896008
119,147442.75655457916
120,36571.05156376692
121,57913.96344771818
122,9238.102863640277
123,34398.853511123714
124,97836.4118899436
125,87104.36148229116
126,-13183.715300430267
127,127033.40232413396
128,86830.8724695317
129,101844.74747522354
130,98207.52157687063
131,104415.08991485089
132,61637.69436868209
133,95312.60260896757
134,132667.2754424974
135,106591.55426542665
136,112063.88960991982
137,60219.84811988249
138,137151.6866506014
139,112940.28308210552
140,-21436.271637436046
141,8641.95137208527
142,124404.83325698193
143,96998.3082916946
144,-6823.121730323284
145,-3982.200508253256
146,-24308.40393551308
147,100401.37557016636
148,23802.722790147003
149,197317.74027447577
150,76034.32830606432
151,28969.339366645014
152,136625.9674437609
153,13981.520722516929
154,26888.385094167847
155,74096.74598424337
156,76465.68962490266
157,34116.13860237086
158,92183.11442728073
159,78963.20057113268
160,11314.553500088441
161,96998.29964401953
162,60754.34825284774
163,108251.49945107664
164,63836.66973747344
165,72838.46838369715
166,10182.297280264836
167,86107.37163076346
168,94020.62075352138
169,-22660.26251872364
170,-378.4342822986364
171,14115.239522522927
172,59747.63236223711
173,103208.88262254329
174,58274.010140900784
175,39777.44142469269
176,59651.386511919176
177,96610.61779842517
178,98711.41335616772
179,-24190.718333178665
180,21874.893465358997
181,140392.68780089566
182,114590.10652533744
183,111520.91574749192
184,184438.72198100458
185,-26462.74948263343
186,56434.8951904423
187,112236.42110277228
188,105476.12673491344
189,120960.42779235054
190,48804.212519783134
191,28519.7264110553
192,86620.50820378624
193,-1867.758113228192
194,-6266.642324196553
195,66070.05582691054
196,55713.17314288056
197,166013.7794728293
198,163599.52057729696
199,112516.02532217765
200,31737.269170170206
201,35078.45284821163
202,-10546.15147459277
203,45966.16545149788
204,183782.11014483363
205,20764.95658302593
206,34483.60645179878
207,70134.37667768566
208,91220.74932865112
209,-10847.033829256485
210,74.84948338595859
211,85681.34876094063
212,51638.76513340912
213,29645.765292298587
214,152204.7032984803
215,58962.6002418309
216,105471.1632190232
217,95083.44051289445
218,36698.521898344494
219,149213.13306937198
220,59716.96084537846
221,52950.56248322159
222,-15912.104103644102
223,94363.91346515462
224,114204.24918863876
225,147681.3147636905
226,-28580.095871652054
227,20538.597988563022
228,3937.461221799691
229,114962.52977723486
230,1085.9142199830676
231,-62184.1573063323
232,31289.13278551276
233,142064.10098593432
234,135254.02375486973
235,66346.50072992034
236,112554.05861461342
237,135075.13890082267
238,150828.37056972162
239,110532.89519362221
240,59542.101647747244
241,198323.35891861675
242,25029.190720943952
243,34753.24999978496
244,39054.412652419065
245,81535.83195557244
246,22247.842713430662
247,81005.92387866447
248,93141.59000219984
249,-3809.524637941213
250,82463.83480762276
251,-16669.78876478286
252,42958.60863397817
253,47830.42606485347
254,49064.57786351346
255,95449.89918540927
256,4553.94620568541
257,34941.328316015686
258,43646.27703967268
259,124442.08201124457
260,121665.48075603398
261,56967.45158900615
262,1389.059210640553
263,-3818.319720689484
264,129308.1519858632
265,-787.1573167277966
266,78269.61229508315
267,79486.40188718676
268,22503.876539216864
269,247144.23696373723
270,8912.581028782486
271,97769.09174195517
272,21992.305574724058
273,135875.14420863526
274,87216.53016293437
275,49887.02299068117
276,77787.5030300762
277,86781.24692982543
278,-34825.13305719085
279,72845.6724394246
280,-11379.021426996944
281,126087.91056556076
282,81610.22779627718
283,-43697.548976148755
284,110625.06163513503
285,58971.80276200178
286,56408.15251910339
287,35350.34759974664
288,73624.93434234256
289,127300.05143134069
290,99303.30524370063
291,144183.90469659748
292,181071.77996588164
293,28427.615562954103
294,77911.57038697132
295,32238.909981654513
296,41623.71553670344
297,76268.93653535713
298,16723.446648806166
299,61726.661579921434
300,8022.275406071167
301,-33281.84841867178
302,161915.62663833823
303,145225.2834120143
304,118385.31128938781
305,77036.54902165601
306,9613.65386972839
307,210629.89504712768
308,45673.41493341344
309,207332.3227826758
310,82924.44058466153
311,100338.55178550017
312,102074.06885048973
313,148806.83313291214
314,19951.525577311484
315,-20826.344497992613
316,53337.34506471009
317,38722.83813698927
318,140225.1041845451
319,88944.85278555844
320,128007.02440174935
321,63492.528336869334
322,165292.33916504995
323,53797.93353309116
324,62762.105951982085
325,130759.67159012787
326,111227.90260161775
327,18767.15515488592
328,20406.7012014285
329,49236.348912228976
330,128802.70210549374
331,-63405.147597575866
332,61281.27163664937
333,64218.43848272842
334,51306.77078626486
335,5384.1170381142
336,90720.2251450627
337,52021.36439263722
338,71654.67686932105
339,116010.4094893905
340,68881.08323791805
341,114289.1857298803
342,128349.47611918367
343,105022.62162324053
344,112750.22066453687
345,26957.826208461105
346,36097.32867997981
347,29561.429885973354
348,90367.25332059487
349,22886.356688096625
350,191674.24026295543
351,107212.63621501837
352,64594.8826509131
353,110985.3604449344
354,105299.34398531844
355,85027.44089894436
356,-16750.74605207282
357,43223.042322143185
358,39784.36139641674
359,110056.39556100738
360,60234.49985812178
361,110030.12524096186
362,4170.622540558805
363,134646.98961932113
364,133788.05729094468
365,151021.09222448434
366,169520.83647797507
367,5019.751362140698
368,65298.297667630664
369,109255.31452959485
370,-63357.36580860101
371,111137.96296352403
372,139075.77186195896
373,-7256.6521432444715
374,128090.24311634342
375,177666.793160059
376,71606.5819397615
377,78796.1465835783
378,156764.1577094018
379,52314.591971551614
380,72666.01302380866
381,71106.00534784551
382,60577.161352555086
383,67328.38525699546
384,102447.00327103172
385,44743.54278319773
386,-16341.602997331429
387,-4769.571962132701
388,30866.613124140436
389,28207.680141161698
390,34752.80319004281
391,69187.19307746219
392,81798.87351768225
393,148980.31580597136
394,161305.15676568623
395,150450.56789036747
396,138318.88759483054
397,14603.540280593312
398,100257.85945762665
399,40750.93192693828
400,112358.50156779637
401,136038.77832475695
402,97865.81063788492
403,38110.07091042972
404,27607.563624245486
405,107309.64678847545
406,88731.29972461943
407,-621.794871619597
408,44162.14466409985
409,213406.54208108445
410,149435.102907532
411,38088.7984880263
412,107260.24755354376
413,17184.32811252634
414,44900.3006988448
415,55556.90053119521
416,72043.52338260369
417,59638.49685728596
418,162585.9702025049
419,55816.41118198061
420,19073.90454952763
421,130647.57677067941
422,4303.054548233806
423,39706.85311766663
424,25098.98118861964
425,144182.55196671764
426,126654.44761071309
427,27784.93266311982
428,37029.542841809176
429,-17839.449636459904
430,4329.070606963127
431,46555.81440661095
432,31064.217636313013
433,119787.37720268124
434,-11180.171682912434
435,94057.48874743891
436,75503.52896022354
437,78477.00998119617
438,66520.30891749261
439,116015.90067115572
440,79124.13855926202
441,188344.27675091533
442,98384.43638995035
443,82641.7115558161
444,119355.9601643802
445,104805.8990968368
446,4587.906366063515
447,9030.90639720962
448,32470.337762864976
449,128023.91569801496
450,100622.25536927051
451,94997.48973231649
452,149544.23527067126
453,103242.98989710883
454,48834.609396685584
455,4375.420838956925
456,22996.678287158167
457,24593.254080163024
458,138537.23964701526
459,54868.30795438235
460,29439.171591095903
461,-40474.50210324615
462,77795.49770961999
463,178462.24847062567
464,64863.165218670816
465,86053.16249511259
466,11618.281077192507
467,56581.70754359369
468,1946.567150360177
469,103950.53219452832
470,110105.35235119626
471,34351.077289256704
472,44003.21157200464
473,53886.162430713564
474,68942.69819344675
475,-30729.14445456148
